Description,Price,Rating,ReviewCount,Link
The Last Thing He Told Me: A Novel,$14.00,4.3 out of 5 stars,,https://www.amazon.com/Last-Thing-He-Told-Me/dp/1501171348/ref=sr_1_1?keywords=Best+sellers+in+books&qid=1638813840&s=books&sr=1-1
The Judge's List: A Novel,$0.00,4.5 out of 5 stars,,https://www.amazon.com/The-Judges-List-A-Novel/dp/B093N8JP2B/ref=sr_1_2?keywords=Best+sellers+in+books&qid=1638813840&s=books&sr=1-2
Where the Crawdads Sing,$9.98,4.8 out of 5 stars,,https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens/dp/0735219109/ref=sr_1_3?keywords=Best+sellers+in+books&qid=1638813840&s=books&sr=1-3
Never: A Novel,$15.99,4.4 out of 5 stars,,https://www.amazon.com/Never-Novel-Ken-Follett-ebook/dp/B08WCFQVR8/ref=sr_1_4?keywords=Best+sellers+in+books&qid=1638813840&s=books&sr=1-4
The Dark Hours,$14.99,4.7 out of 5 stars,,https://www.amazon.com/Dark-Hours-Michael-Connelly-ebook/dp/B08WLRG1L2/ref=sr_1_5?keywords=Best+sellers+in+books&qid=1638813840&s=books&sr=1-5
Better Off Dead: A Jack Reacher Novel,$14.99,4.1 out of 5 stars,,https://www.amazon.com/Better-Off-Dead-Reacher-Novel-ebook/dp/B08SBMCSQQ/ref=sr_1_6?keywords=Best+sellers+in+books&qid=1638813840&s=books&sr=1-6
The Locked Door: A gripping psychological thriller with a jaw-dropping twist,$0.00,4.4 out of 5 stars,,https://www.amazon.com/Locked-Door-gripping-psychological-jaw-dropping-ebook/dp/B092RXXJDM/ref=sr_1_7?keywords=Best+sellers+in+books&qid=1638813840&s=books&sr=1-7
The Second Mrs. Astor: A Heartbreaking Historical Novel of the Titanic,$8.23,4.3 out of 5 stars,,https://www.amazon.com/Second-Mrs-Astor-Novel-Titanic-ebook/dp/B08PQ2T2F3/ref=sr_1_8?keywords=Best+sellers+in+books&qid=1638813840&s=books&sr=1-8
The Housekeeper: A twisted psychological thriller,$9.40,4.3 out of 5 stars,,https://www.amazon.com/Housekeeper-twisted-psychological-thriller/dp/0648225976/ref=sr_1_9?keywords=Best+sellers+in+books&qid=1638813840&s=books&sr=1-9
The Last Flight: A Novel,$9.48,4.4 out of 5 stars,,https://www.amazon.com/Last-Flight-Novel-Julie-Clark-ebook/dp/B083ZLK9PL/ref=sr_1_10?keywords=Best+sellers+in+books&qid=1638813840&s=books&sr=1-10
Apples Never Fall,$0.00,4.2 out of 5 stars,,https://www.amazon.com/Apples-Never-Fall/dp/B08V8939WY/ref=sr_1_11?keywords=Best+sellers+in+books&qid=1638813840&s=books&sr=1-11
The Last Bookshop in London: A Novel of World War II,$13.58,4.5 out of 5 stars,,https://www.amazon.com/Last-Bookshop-London-Novel-World/dp/133528480X/ref=sr_1_12?keywords=Best+sellers+in+books&qid=1638813840&s=books&sr=1-12
The Guardians: A Novel,$0.00,4.5 out of 5 stars,,https://www.amazon.com/The-Guardians-John-Grisham-audiobook/dp/B07R8W9QZ5/ref=sr_1_13?keywords=Best+sellers+in+books&qid=1638813840&s=books&sr=1-13
The Midnight Library: A Novel,$13.29,4.3 out of 5 stars,,https://www.amazon.com/Midnight-Library-Novel-Matt-Haig/dp/0525559477/ref=sr_1_14?keywords=Best+sellers+in+books&qid=1638813840&s=books&sr=1-14
A Gentleman in Moscow: A Novel,$0.00,4.6 out of 5 stars,,https://www.amazon.com/A-Gentleman-in-Moscow/dp/0143110438/ref=sr_1_15?keywords=Best+sellers+in+books&qid=1638813840&s=books&sr=1-15
In Five Years: A Novel,$11.06,4.4 out of 5 stars,,https://www.amazon.com/Five-Years-Novel-Rebecca-Serle/dp/1982137452/ref=sr_1_16?keywords=Best+sellers+in+books&qid=1638813840&s=books&sr=1-16
The Last Thing He Told Me: A Novel,$14.00,4.3 out of 5 stars,,https://www.amazon.com/Last-Thing-He-Told-Me/dp/1501171348/ref=sr_1_1?keywords=Best+sellers+in+books&qid=1638813845&s=books&sr=1-1
Never: A Novel,$15.99,4.4 out of 5 stars,,https://www.amazon.com/Never-Novel-Ken-Follett-ebook/dp/B08WCFQVR8/ref=sr_1_2?keywords=Best+sellers+in+books&qid=1638813845&s=books&sr=1-2
Apples Never Fall,$0.00,4.2 out of 5 stars,,https://www.amazon.com/Apples-Never-Fall/dp/B08V8939WY/ref=sr_1_3?keywords=Best+sellers+in+books&qid=1638813845&s=books&sr=1-3
Where the Crawdads Sing,$9.98,4.8 out of 5 stars,,https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens/dp/0735219109/ref=sr_1_4?keywords=Best+sellers+in+books&qid=1638813845&s=books&sr=1-4
The Wish,$14.00,4.8 out of 5 stars,,https://www.amazon.com/Wish-Nicholas-Sparks/dp/1538728621/ref=sr_1_5?keywords=Best+sellers+in+books&qid=1638813845&s=books&sr=1-5
The Last Flight: A Novel,$9.48,4.4 out of 5 stars,,https://www.amazon.com/Last-Flight-Novel-Julie-Clark-ebook/dp/B083ZLK9PL/ref=sr_1_6?keywords=Best+sellers+in+books&qid=1638813845&s=books&sr=1-6
The Judge's List: A Novel,$0.00,4.5 out of 5 stars,,https://www.amazon.com/The-Judges-List-A-Novel/dp/B093N8JP2B/ref=sr_1_7?keywords=Best+sellers+in+books&qid=1638813845&s=books&sr=1-7
The Dark Hours,$14.99,4.7 out of 5 stars,,https://www.amazon.com/Dark-Hours-Michael-Connelly-ebook/dp/B08WLRG1L2/ref=sr_1_8?keywords=Best+sellers+in+books&qid=1638813845&s=books&sr=1-8
The Last Bookshop in London: A Novel of World War II,$13.58,4.5 out of 5 stars,,https://www.amazon.com/Last-Bookshop-London-Novel-World/dp/133528480X/ref=sr_1_9?keywords=Best+sellers+in+books&qid=1638813845&s=books&sr=1-9
The Clover Girls: A Novel,$9.99,4.3 out of 5 stars,,https://www.amazon.com/Clover-Girls-Novel-Viola-Shipman-ebook/dp/B08FTF99TG/ref=sr_1_10?keywords=Best+sellers+in+books&qid=1638813845&s=books&sr=1-10
Pachinko (National Book Award Finalist),$0.00,4.6 out of 5 stars,,https://www.amazon.com/Pachinko-National-Book-Award-Finalist/dp/1455563927/ref=sr_1_11?keywords=Best+sellers+in+books&qid=1638813845&s=books&sr=1-11
Peril,$15.00,4.5 out of 5 stars,,https://www.amazon.com/Peril-Bob-Woodward/dp/1982182911/ref=sr_1_12?keywords=Best+sellers+in+books&qid=1638813845&s=books&sr=1-12
Anxious People: A Novel,$13.12,4.4 out of 5 stars,,https://www.amazon.com/Anxious-People-Novel-Fredrik-Backman/dp/1501160842/ref=sr_1_13?keywords=Best+sellers+in+books&qid=1638813845&s=books&sr=1-13
The Lost Girls of Ireland: A heart-warming and feel-good page-turner set in Ireland (Starlight Cottages Book 1),$2.99,4.3 out of 5 stars,,https://www.amazon.com/Lost-Girls-Ireland-heart-warming-page-turner-ebook/dp/B08TQ85XT7/ref=sr_1_14?keywords=Best+sellers+in+books&qid=1638813845&s=books&sr=1-14
Into the Abyss: An Extraordinary True Story,$10.99,4.4 out of 5 stars,,https://www.amazon.com/Into-Abyss-Extraordinary-True-Story/dp/1455501964/ref=sr_1_15?keywords=Best+sellers+in+books&qid=1638813845&s=books&sr=1-15
In Five Years: A Novel,$11.06,4.4 out of 5 stars,,https://www.amazon.com/Five-Years-Novel-Rebecca-Serle/dp/1982137452/ref=sr_1_16?keywords=Best+sellers+in+books&qid=1638813845&s=books&sr=1-16
